Age,M,F
0,694478,658034
1,752935,712973
2,787864,746147
3,798895,753878
4,792778,744605
5,772359,725674
6,746167,702466
7,722285,681263
8,705360,666141
9,693093,654867
10,679722,642343
11,665161,628603
12,650752,615152
13,633198,598986
14,611471,579074
15,593769,562870
16,584247,554288
17,580658,550712
18,580842,550259
19,584716,554045
20,589597,561404
21,591421,568424
22,601199,580845
23,626342,603450
24,663253,637059
25,706364,677506
26,750223,718776
27,805505,772112
28,854933,819217
29,885306,847807
30,901953,864018
31,901871,868817
32,927827,896125
33,952778,919221
34,947921,915428
35,922048,887754
36,873690,838528
37,853782,814860
38,830873,789749
39,777188,740499
40,725365,693500
41,679217,649966
42,652072,621278
43,629569,596688
44,599647,567319
45,578954,547136
46,559447,528144
47,559881,527716
48,554953,524111
49,527063,501265
50,504019,484908
51,469483,458430
52,447027,441583
53,428992,425770
54,407425,402024
55,401204,392932
56,393788,384979
57,387110,380243
58,375098,370803
59,356159,353228
60,340182,338175
61,320925,319413
62,302943,301758
63,290793,288248
64,278847,275525
65,270058,266405
66,264768,258798
67,256236,249308
68,243011,236974
69,227815,221729
70,199841,195387
71,172891,172957
72,158627,161857
73,145006,149698
74,132397,138392
75,120693,128060
76,109742,118622
77,99524,109821
78,89734,101445
79,80414,93629
80,71727,86327
81,62879,78430
82,53606,69389
83,44581,60020
84,36595,51389
85,29762,43628
86,23685,36258
87,18384,29421
88,13941,23349
89,10351,18165
90,7500,13804
91,5338,10309
92,3767,7625
93,2615,5542
94,1768,3913
95,1161,2680
96,729,1758
97,427,1079
98,236,622
99,125,344
100+,118,351
